Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Tuyển Sinh - admin vận hành,['Hồ Chí Minh'],04/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,7 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,14/12/2024,MINDX TECHNOLOGY SCHOOL,"Tầng 5, 71 Nguyễn Chí Thanh, Hà Nội",HR MindX,100-499,Cổ phần
Senior Key Account Executive,['Hồ Chí Minh'],29/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,30/11/2024,CÔNG TY TNHH ONPOINT,"Tầng 4, Tòa nhà AB, 27B Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",HR Department,50-200,Trách nhiệm hữu hạn
Thiết Kế Đồ Họa,['Hồ Chí Minh'],05/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Tiếp thị / Marketing",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,04/12/2024,CÔNG TY TNHH 3D SMART SOLUTIONS,"Số 58/6 Đường Võ Văn Hát, Khu Phố Phước Hiệp, Phường Long Trường, Thành phố Thủ Đức, Tp Hồ Chí Minh, Việt Nam",Ms. Trang,25-99,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh Nội Thất,['Hồ Chí Minh'],05/12/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Xây dựng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,14/12/2024,CÔNG TY TNHH GO FLOOR,"G-07, Tầng 1, Khu phức hợp The Manor, 89 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Ms. Trinh,25-99,Trách nhiệm hữu hạn
Project Manager (Operations Department),['Hồ Chí Minh'],03/12/2024,"Dịch vụ khách hàng , Sản xuất / Vận hành sản xuất , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,12/12/2024,DIGI-TEXX VIETNAM,"2nd Floor, Anna Building, Quang Trung Software City, Dist. 12",Ms. Huyền,1.000-4.999,Trách nhiệm hữu hạn
Nhân viên Bán hàng,['Hồ Chí Minh'],04/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,13/12/2024,CÔNG TY TNHH JOYCO RETAIL OPERATIONS,"Tầng 03 tòa nhà PLS, số 279 Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",Cát Tường,25-99,Trách nhiệm hữu hạn
Nhân viên khai báo hải quan,['Hồ Chí Minh'],04/12/2024,Ngành khác,Nhân viên chính thức,15 Tr - 22 Tr VND,4 - 7 Năm,Nhân viên,31/12/2024,VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn
CONTENT LEADER,['Hồ Chí Minh'],02/12/2024,"Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,08/12/2024,VASCARA GROUP,"Lầu 4, Tòa nhà ACM, số 96 Cao Thắng, P. 4, Q. 3, TP HCM",Team Tuyển dụng,500-999,Trách nhiệm hữu hạn
TBP Pháp lý - Ban Pháp lý và tuân thủ (HO),['Hồ Chí Minh'],03/12/2024,"Luật / Pháp lý , Ngân hàng",Nhân viên chính thức,10 Tr - 25 Tr VND,5 - 7 Năm,Trưởng nhóm / Giám sát,11/12/2024,NGÂN HÀNG VIỆT NAM THƯƠNG TÍN,"62A Cách Mạng Tháng 8, P. Võ Thị Sáu, Q. 3",Vietbank,,Cổ phần
E-commerce Manager,['Hồ Chí Minh'],29/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,08/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
QUẢN LÝ CỬA HÀNG XƯỞNG BIA,['Hồ Chí Minh'],30/11/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 13 Tr VND,1 - 2 Năm,Quản lý,31/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ F&B QUỲNH CHI,"Văn phòng tại Tầng 2-3, 99 Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh",HR TEAM,100-499,Cổ phần
[HCM] Project Manager (Sales & Business Development),['Hồ Chí Minh'],28/11/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,3 - 6 Năm,Trưởng nhóm / Giám sát,06/12/2024,,,,,
Chuyên viên Triển khai Kỹ thuật,['Hồ Chí Minh'],26/11/2024,"Kiến trúc , Xây dựng , Nội ngoại thất",Nhân viên chính thức,13 Tr - 15 Tr VND,2 - 4 Năm,Nhân viên,05/12/2024,CÔNG TY CỔ PHẦN THIẾT KẾ & XÂY DỰNG BISCONS VIỆT NAM,"Số 05 ngách 38, ngõ 273 đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
GENERAL ACCOUNTANT,[],,,,,,,,,,,,
HR Administrative Assistant (Internship Student),['Hồ Chí Minh'],25/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Bán thời gian,2 Tr - 2 Tr VND,,Sinh viên/ Thực tập sinh,23/11/2024,CÔNG TY TNHH THAI CORP INTERNATIONAL (VIỆT NAM),"Lô 5-4, đường M14, KCN Tân Bình Mở Rộng, P. Bình Hưng Hòa, Q. Bình Tân",Mr. Thịnh,500-999,100% vốn nước ngoài
Admin For Commercial (Thực Hiện Báo Giá),['Hồ Chí Minh'],26/11/2024,Dịch vụ khách hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,30/11/2024,"TRENDS & TECHNOLOGIES, INC. VIETNAM CO., LTD","153 Ung Văn Khiêm, Phường 25, quận Bình Thạnh, Thành Phố Hồ Chí Minh",HR Department,50-100,Trách nhiệm hữu hạn
"Nhân Viên Kinh Doanh Ô Tô (HCM, Đức Trọng, Cà Mau)","['Hồ Chí Minh', 'Cà Mau', 'Lâm Đồng']",02/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,10 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH ĐẠI PHÁT TÍN,"628 Quốc lộ 13, Phường Hiệp Bình Phước, TP. Thủ Đức",HR DEPT,100-499,Trách nhiệm hữu hạn
Nhân viên truyền thông media,['Hồ Chí Minh'],03/12/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,10 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,01/01/2025,CÔNG TY TNHH THỊNH GIA HUY,"Lô O3-4 Đường số 2, KCN Hải Sơn (GĐ 3+4), Ấp Bình Tiền 2, Xã Đức Hòa Hạ, Huyện Đức Hòa, Tỉnh Long An",Nguyễn Minh Quân,100-499,Trách nhiệm hữu hạn
Giám đốc sàn Kinh doanh BĐS - chủ đầu tư,"['Hồ Chí Minh', 'Long An']",29/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Bất động sản",Nhân viên chính thức,18 Tr - 22 Tr VND,3 - 5 Năm,Quản lý,28/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THỦ THỪA,"Khu dân cư Trung tâm hành chính huyện Thủ Thừa, Khu phố 11, Thị Trấn Thủ Thừa, Huyện Thủ Thừa, Tỉnh Long An, Việt Nam",Tuyển Dụng,,Cổ phần
Sales Engineer ( Automation- HCM) NEW,['Hồ Chí Minh'],30/11/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,29/12/2024,"SERVO DYNAMICS ENGINEERING CO.,LTD","4/1B Luong Dinh Cua St., Binh Khanh Ward, District 2, HCMC",Ms. Khanh,,Trách nhiệm hữu hạn
Chuyên Viên Kỹ Thuật,['Hồ Chí Minh'],30/11/2024,"Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,12 Tr - 17 Tr VND,Trên 1 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH THIẾT BỊ KHOA HỌC LAN OANH,"95/3 Lương Định Của, khu phố 3, phường An Khánh, TP. Thủ đức , Tp. HCM",Phạm Lan Anh,,Trách nhiệm hữu hạn
KỸ THUẬT ĐIỆN LẠNH,"['Hồ Chí Minh', 'Hà Nội']",30/11/2024,"Nhà hàng / Khách sạn , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,15 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
Nhân Viên Bán Hàng,['Hồ Chí Minh'],29/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,"6,5 Tr - 9 Tr VND",Trên 1 Năm,Nhân viên,28/12/2024,,,,,
"Nhân Viên Phát Triển Thị Trường Khu Vực Bình Thạnh, Gò Vấp, Phú Nhuận",['Hồ Chí Minh'],29/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,28/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần
QUẢN LÝ NHÀ HÀNG PHỞ BÒ MỸ [QUẬN 2],['Hồ Chí Minh'],29/11/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Quản lý,28/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ F&B QUỲNH CHI,"Văn phòng tại Tầng 2-3, 99 Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh",HR TEAM,100-499,Cổ phần
KỸ SƯ KẾT CẤU CÔNG SOLAR ROOFTOP,['Hồ Chí Minh'],26/11/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,Trên 15 Tr VND,Trên 2 Năm,Nhân viên,25/12/2024,CÔNG TY CỔ PHẦN INDEFOL SOLAR,"200B Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh.",Phòng HR,100-499,Công ty đa quốc gia
Chuyên Viên Kinh Doanh Kênh Phân Phối,"['Hồ Chí Minh', 'Hà Nội']",28/11/2024,"Bán hàng / Kinh doanh , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,27/12/2024,CÔNG TY TNHH ACER VIỆT NAM,"Phòng 704-05 Tòa nhà SaiGon Trade Center, số 37 Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1",Ms. Hạnh,,Trách nhiệm hữu hạn
Nhân Viên Kênh MT Siêu Thị,"['Hồ Chí Minh', 'Hà Nội', 'Đồng Nai']",28/11/2024,"Bán hàng / Kinh doanh , Hàng gia dụng / Chăm sóc cá nhân",Nhân viên chính thức,Cạnh tranh,Lên đến 2 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN MỸ PHẨM SÀI GÒN,"930 Nguyễn Thị Định, Khu Công Nghiệp Cát Lái (cụm II), Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam.",Ms.Ngọc Huyền,500-999,Cổ phần
NHÂN VIÊN TƯ VẤN HỒ SƠ VISA,['Hồ Chí Minh'],24/11/2024,"Tư vấn , Dịch vụ khách hàng , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN ANGEL CORPORATION,"82 đường 15, phường An Phú, Quận 2, Thành phố Thủ Đức.",Phòng Hành chính Nhân sự,25-99,Cổ phần
Trade Manage Marketing - Thu nhập 18.000.000 - 25.000.000 - Tại Hồ Chí Minh - Đi làm ngay,['Hồ Chí Minh'],24/11/2024,"Tiếp thị / Marketing , Dược phẩm",Nhân viên chính thức,18 Tr - 25 Tr VND,2 - 3 Năm,Quản lý,23/12/2024,CÔNG TY TNHH DƯỢC HUNMED,"Số 130, ngõ 32, tổ 6, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",BP. Tuyển Dụng,,Trách nhiệm hữu hạn
Social Commerce Planner | meLive,['Hồ Chí Minh'],24/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN METUB VIỆT NAM,"METUB Tower, 40 Nguyễn Văn Hưởng , P. Thảo Điền, Q.2, TPHCM",HR Department,25-99,Cổ phần
Account Manager (Online Tour),['Hồ Chí Minh'],25/11/2024,"Du lịch , CNTT - Phần mềm",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,23/12/2024,SOCTRIP,"400/8B - 400/10 Ung Văn Khiêm, phường 25, quận Bình Thạnh, TP. HCM",HRA Dept.,100-499,Công ty đa quốc gia
Shopee Lead,['Hồ Chí Minh'],24/11/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Trưởng nhóm / Giám sát,23/12/2024,CÔNG TY TNHH ANTA SPORTS VIỆT NAM,"Phòng 612, Tầng 6, Tòa nhà Friendship, Số 31, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, Quận 1, TP Hồ Chí Minh",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn
GIÁM SÁT / TỔ TRƯỞNG NHÀ HÀNG,['Hồ Chí Minh'],24/11/2024,"Lao động phổ thông , Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,23/12/2024,CÔNG TY TNHH ĐẦU TƯ ẨM THỰC NHÂN PHÁT,"160 Đặng Nguyên Cẩn, P.13, Q.6, Tp. HCM",Mr Linh,500-999,Trách nhiệm hữu hạn
Nhân viên livestream,['Hồ Chí Minh'],23/11/2024,Tiếp thị / Marketing,Nhân viên chính thức,10 Tr - 20 Tr VND,1 - 3 Năm,Nhân viên,22/12/2024,VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn
Customer Success Executive,['Hồ Chí Minh'],23/11/2024,"Dịch vụ khách hàng , Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,12 Tr - 16 Tr VND,2 - 3 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ ROVI HOLDINGS,"Số 4 Hát Giang, Tân Bình",Phòng Nhân sự,100-499,Cổ phần
Junior M365 Engineer,['Hồ Chí Minh'],22/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,21/12/2024,SPS VIETNAM,"Lầu 8, Tòa Nhà Saigon ICT, Công Viên Phần Mềm Quang Trung, Quận 12",HR Department,500-999,100% vốn nước ngoài
Telesales Assistant Manager (Phó Phòng Kinh Doanh),['Hồ Chí Minh'],22/11/2024,"Tư vấn , Tài chính / Đầu tư , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,21/12/2024,CÔNG TY TNHH MTV HEALTHPOST,"Tầng 3, số 17 – 19 Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Tp. HCM",HR Dept.,100-499,Trách nhiệm hữu hạn
NHÂN VIÊN HƯỚNG DẪN (TRONG KHU VUI CHƠI LOTTE TÂN BÌNH),['Hồ Chí Minh'],21/11/2024,"Dịch vụ khách hàng , Lao động phổ thông , Bán hàng / Kinh doanh",Nhân viên chính thức,"5 Tr - 7,5 Tr VND",Trên 3 Năm,Nhân viên,20/12/2024,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THẾ GIỚI BABY,"26 Đường số 49, Khu phố 8, Phường Tân Tạo, Quận Bình Tân, Tp. HCM.",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XNK THẾ GIỚI BABY,10-20,Trách nhiệm hữu hạn
Kỹ sư giám sát,['Hồ Chí Minh'],22/11/2024,"Cơ khí / Ô tô / Tự động hóa , Dầu khí",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,21/12/2024,CÔNG TY CP THƯƠNG MẠI – KỸ THUẬT ĐỨC DƯƠNG,"108 Nguyễn Minh Hoàng, P.12, Tân Bình, TP.HCM",Phòng Nhân sự,25-99,Cổ phần
Phó quản lý Khu vui chơi trẻ em tại Quận 10 Tp. HCM,['Hồ Chí Minh'],18/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,9 Tr - 10 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,17/12/2024,CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài
产品运营,['Hồ Chí Minh'],18/11/2024,"Tư vấn , Dịch vụ khách hàng , Biên phiên dịch",Nhân viên chính thức,15 Tr - 25 Tr VND,,Nhân viên,17/12/2024,三一科技有限公司,"LK1-12 đường Lê Hữu Kiều, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn
Trưởng bộ phận Quản lý rủi ro và Tuân thủ (CNTT),['Hồ Chí Minh'],18/11/2024,"Ngân hàng , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,"1,200 - 1,400 USD",3 - 4 Năm,Trưởng nhóm / Giám sát,17/12/2024,INDOVINA BANK LTD.,97A Nguyễn Văn Trỗi Phường 11 Quận Phú Nhuận,Ms. Hằng,1.000-4.999,Liên doanh
Chuyên gia/Chuyên viên cao cấp quản lý danh mục tài chính số,['Hồ Chí Minh'],18/11/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 7 Năm,Nhân viên,17/12/2024,NGÂN HÀNG TMCP TIÊN PHONG (TPBANK),"Tầng 10, Tòa nhà TPBank, 57 Lý Thường Kiệt, Hoàn Kiếm, HN",Phòng Nhân Sự,,Cổ phần
THU NGÂN BÁN HÀNG - QUẬN 9,['Hồ Chí Minh'],19/11/2024,"Thực phẩm & Đồ uống , Mới tốt nghiệp / Thực tập , Bán hàng / Kinh doanh",Nhân viên chính thức,"6 Tr - 9,5 Tr VND",,Sinh viên/ Thực tập sinh,18/12/2024,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NHẬT MINH BAKERY,"131 Vũ Tùng, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn
Giám đốc Chi nhánh - TPHCM - TA110,['Hồ Chí Minh'],21/11/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,20/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần
"Giám Sát Ca / Shift Supervisor - Quận 4, 7",['Hồ Chí Minh'],18/11/2024,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,17/12/2024,STARBUCKS VIETNAM,"Phuong Long 2 building, 16 Nguyen Truong To St, Ward 13, District 4, Hochiminh city, Vietnam",Talent Acquisition Team,1.000-4.999,100% vốn nước ngoài
Trưởng phòng phát triển mặt bằng tại Quận 7 HCM,['Hồ Chí Minh'],18/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,17/12/2024,CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài
Nhân viên bán hàng tại siêu thị,['Hồ Chí Minh'],18/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,17/12/2024,CÔNG TY TNHH SẢN XUẤT TẬP ĐOÀN ĐẠI VIỆT,Công ty TNHH sản xuất Tập đoàn Đại Việt,Đại Việt,100-499,Trách nhiệm hữu hạn
Tender Specialist - Pharmaceutical Company,['Hồ Chí Minh'],18/11/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,18 Tr - 25 Tr VND,3 - 7 Năm,Nhân viên,17/12/2024,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,"Pax Sky Tower, 159C Đường Đề Thám, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ms Nhung,,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh,"['Hà Nội', 'Hồ Chí Minh']",16/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Nhà hàng / Khách sạn",Nhân viên chính thức,15 Tr - 20 Tr VND,,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN MISA,"Tầng 9, Tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, Việt Nam",MISA,1.000-4.999,Cổ phần
Nhân viên triển khai bóc tách - Làm việc tại Hồ Chí Minh,['Hồ Chí Minh'],16/11/2024,"Kiến trúc , Xây dựng , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,,Nhân viên,15/12/2024,CÔNG TY CP THIẾT KẾ LỤC GIÁC,"Tầng 21, 23 tòa nhà C'land 156 xã đàn 2, phường nam đồng, quận đống đa, thành phố hà nội",Ms Linh,100-499,Cổ phần
Nhân Viên Vận Hành Máy CNC,['Hồ Chí Minh'],16/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH NHỰA TÂN LẬP THÀNH,"322a Hồ Ngọc Lãm, Phường An Lạc, Q. Bình Tân, TP.HCM",HR Dept,500-999,Trách nhiệm hữu hạn
BA - Chuyên viên tư vấn mỹ phẩm,['Hồ Chí Minh'],16/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Lên đến 11 Tr VND,,Nhân viên,15/12/2024,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,"Pax Sky Tower, 159C Đường Đề Thám, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ms Nhung,,Trách nhiệm hữu hạn
Payroll Executive,['Hồ Chí Minh'],16/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH THAI CORP INTERNATIONAL (VIỆT NAM),"Lô 5-4, đường M14, KCN Tân Bình Mở Rộng, P. Bình Hưng Hòa, Q. Bình Tân",Mr. Thịnh,500-999,100% vốn nước ngoài
Chuyên viên Quay dựng Fitness,['Hồ Chí Minh'],15/11/2024,Tiếp thị / Marketing,Nhân viên chính thức,14 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,14/12/2024,CÔNG TY TNHH UPGYM,"80 Lâm Văn Bền, Phường Tân Kiểng, Quận 8",Hạnh Quỳnh,Ít hơn 10,Trách nhiệm hữu hạn
Nhân viên Giấy phép nhập khẩu thiết bị y tế,['Hồ Chí Minh'],26/11/2024,"Y tế / Chăm sóc sức khỏe , Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐỨC TÍN,"348 Bến Vân Đồn, Phường 1, Quận 4, TP.HCM",Nguyễn Tâm,25-99,Cổ phần
Kỹ sư Địa hình - Địa chất,['Hồ Chí Minh'],15/11/2024,Xây dựng,Nhân viên chính thức,15 Tr - 20 Tr VND,5 - 10 Năm,Nhân viên,14/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÈO CẢ,"32 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",BP. Tuyển dụng,5.000-9.999,Cổ phần
NHÂN VIÊN THIẾT KẾ 3D – HÃNG CHUỖI (làm việc tại Hồ Chí Minh),['Hồ Chí Minh'],14/11/2024,"Kiến trúc , Xây dựng , Nội ngoại thất",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,13/12/2024,CÔNG TY CP THIẾT KẾ LỤC GIÁC,"Tầng 21, 23 tòa nhà C'land 156 xã đàn 2, phường nam đồng, quận đống đa, thành phố hà nội",Ms Linh,100-499,Cổ phần
STREAMER DỰ ÁN TIKTOK - PART TIME,['Hồ Chí Minh'],14/11/2024,"Giải trí , Truyền hình / Báo chí / Biên tập , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,13/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ TẬP ĐOÀN KLC,"105 - 107 đường Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, Tp Hồ Chí Minh",Phòng Nhân Sự,,Cổ phần
